Company,Name,Chairman,Vice Chairman/Lead Director,Board Member
Walmart,"Gregory Boyd Penner ""Greg""",x,,
,"Thomas W Horton ""Tom""",,x,
,Steven S Reinemund,,,x
,Marissa A Mayer,,,x
,"Timothy P Flynn ""Tim""",,,x
,"C Douglas McMillon ""Doug""",,,x
,"Samuel Robson Walton ""Rob""",,,x
,Steuart L Walton,,,x
,Carla Ann Harris,,,x
,Sarah J Friar,,,x
Exxon Mobil,Darren W Woods,x,,
,Steven S Reinemund,,x,
,"Kenneth C Frazier ""Ken""",,,x
,Ursula M Burns,,,x
,"Samuel J Palmisano ""Sam""",,,x
,"William C Weldon ""Bill""",,,x
,"Douglas R Oberhelman ""Doug""",,,x
,Angela F Braly,,,x
,Dr Susan K Avery,,,x
,Steven A Kandarian,,,x
Apple,"Dr Arthur D Levinson ""Art""",x,,
,"Albert Arnold Gore Jr ""Al""",,,x
,"Dr Ronald D Sugar ""Ron""",,,x
,Andrea Jung,,,x
,"Timothy Donald Cook ""Tim""",,,x
,"Susan L Wagner ""Sue""",,,x
,James A Bell,,,x
Berkshire Hathaway,Warren E Buffett,x,,
,"Charles T Munger ""Charlie""",,x,
,Walter Scott Jr,,,x
,Howard G Buffett,,,x
,Ronald L Olson,,,x
,Thomas S Murphy,,,x
,Charlotte Guyman,,,x
,"David S Gottesman ""Sandy""",,,x
,"William Henry Gates III ""Bill""",,,x
,"Susan L Decker ""Sue""",,,x
,"Stephen B Burke ""Steve""",,,
,Meryl B Witmer,,,
,"Gregory E Abel ""Greg""",,,
,Ajit B Jain,,,
Amazon.com,"Jeffrey P Bezos ""Jeff""",x,,
,"Jonathan Jake Rubinstein ""Jon""",,x,
,"Thomas O Ryder ""Tom""",,,x
,Jamie S Gorelick,,,x
,Judith A McGrath,,,x
,Wendell P Weeks,,,x
,"Dr Daniel P Huttenlocher ""Dan""",,,x
,"Patricia Q Stonesifer ""Patty""",,,x
,"Rosalind G Brewer ""Roz""",,,x
,Indra K Nooyi,,,x
UnitedHealth Group,Stephen J Hemsley,x,,
,Richard T Burke Sr,,x,
,William C Ballard Jr,,,x
,Dr Gail R Wilensky,,,x
,Michele J Hooper,,,x
,Glenn M Renwick,,,x
,"Timothy P Flynn ""Tim""",,,x
,Valerie C Montgomery Rice,,,x
,"David Scott Wichmann ""Dave""",,,x
,Frederick William McNabb III,,,x
,Dr John H Noseworthy,,,x
McKesson,Edward Arnold Mueller,x,,
,Marie L Knowles,,,x
,M Christine Jacobs,,,x
,"Dr N Anthony Coles Jr ""Tony""",,,x
,"Donald R Knauss ""Don""",,,x
,Susan R Salka,,,x
,"Bradley E Lerman ""Brad""",,,x
,Dominic J Caruso,,,x
,Dr Ken Washington,,,x
,Maria Martinez,,,x
CVS Health,"David W Dorman ""Dave""",x,,
,Richard J Swift,,,x
,Jean-Pierre Millon,,,x
,C David Brown II,,,x
,Larry J Merlo,,,x
,Anne M Finucane,,,x
,Tony L White,,,x
,"William C Weldon ""Bill""",,,x
,Nancy-Ann Min Deparle,,,x
,Richard M Bracken,,,x
,Alecia A DeCoudreaux,,,x
,Mary L Schapiro,,,x
,"Roger N Farah ""Robert""",,,x
,"Edward J Ludwig ""Ed""",,,x
,Fernando Aguirre,,,x
,Mark T Bertolini,,,x
AT&T,Randall L Stephenson,x,,
,"Matthew K Rose ""Matt""",,x,
,Dr Laura D'Andrea Tyson,,,x
,Scott T Ford,,,x
,Michael B McCallister,,,x
,"Cynthia B Taylor ""Cindy""",,,x
,Beth Elaine Mooney,,,x
,Glenn H Hutchins,,,x
,"William E Kennard ""Bill""",,,x
,Richard W Fisher,,,x
,Samuel A Di Piazza Jr,,,x
,"Geoffrey Y Yang ""Geoff""",,,x
,Debra L Lee,,,x
,"Stephen J Luczo ""Steve""",,,x
AmerisourceBergen,"Steven H Collis ""Steve""",x,,
,Dr Jane E Henney,,x,
,Henry W McGee,,,x
,"Michael J Long ""Mike""",,,x
,Richard W Gochnauer,,,x
,Kathleen W Hyle,,,x
,Lon R Greenberg,,,x
,Ornella Barra,,,x
,D Mark Durcan,,,x
Chevron,"Michael K Wirth ""Mike""",x,,
,"Dr Ronald D Sugar ""Ron""",,x,
,Enrique Hernandez Jr,,,x
,Charles Wick Moorman IV,,,x
,Dr Prof Alice P Gast,,,x
,Inge G Thulin,,,x
,Dr Dambisa F Moyo,,,x
,Dr Wanda M Austin,,,x
,John Bernkopf Frank,,,x
,"D James Umpleby III ""Jim""",,,x
,"Debra L Reed-Klages ""Debbie""",,,x
Ford Motor,"William Clay Ford Jr ""Bill""",x,,
,Edsel B Ford II,,,x
,John Lawson Thornton,,,x
,Kimberly Ann Casiano,,,x
,Stephen G Butler,,,x
,"Anthony F Earley Jr ""Tony""",,,x
,"William W Helman IV ""Bill""",,,x
,Dr John C Lechleiter,,,x
,"William E Kennard ""Bill""",,,x
,John S Weinberg,,,x
,Lynn M Vojvodich,,,x
,"James P Hackett ""Jim""",,,x
,John Brady Veihmeyer,,,x
,Beth Elaine Mooney,,,x
General Motors,Mary T Barra,x,,
,"Theodore M Solso ""Tim""",,x,
