Source,Target,Type,Id,Label,timeset,Weight
Walmart,"C Douglas McMillon ""Doug""",Directed,0,,,1
Walmart,Michael R Francis,Directed,1,,,1
Walmart,M Brett Biggs,Directed,2,,,1
Walmart,Suresh Kumar,Directed,3,,,1
Walmart,Janey Whiteside,Directed,4,,,1
Walmart,Steve Bratspies,Directed,5,,,1
Walmart,Daniel Trujillo,Directed,6,,,1
Walmart,Enrique Ostale Cambiaso,Directed,7,,,1
Walmart,Dirk Van Den Berghe,Directed,8,,,1
Walmart,John R Furner,Directed,9,,,1
Walmart,Marc Lore,Directed,10,,,1
Walmart,Judith McKenna,Directed,11,,,1
Walmart,Kathryn McLay,Directed,12,,,1
Walmart,Michael P Dastugue,Directed,13,,,1
Walmart,Richard Mayfield,Directed,14,,,1
Walmart,"John Peter Suarez ""JP""",Directed,15,,,1
Walmart,Ashley Buchanan,Directed,16,,,1
Walmart,Karen Roberts,Directed,17,,,1
Walmart,"James A Barron ""Andy""",Directed,18,,,1
Walmart,"Daniel J Bartlett ""Dan""",Directed,19,,,1
Walmart,Rachel L Brand,Directed,20,,,1
Walmart,Todd Harbaugh,Directed,21,,,1
Walmart,Jamie Iannone,Directed,22,,,1
Walmart,Mark Ibbotson,Directed,23,,,1
Walmart,Julie Murphy,Directed,24,,,1
Walmart,Charles Redfield,Directed,25,,,1
Walmart,Greg Smith,Directed,26,,,1
Walmart,Gordon Y Allison,Directed,27,,,1
Walmart,Nuala O'Connor Kelly,Directed,28,,,1
Walmart,Kerri L Ruttenberg,Directed,29,,,1
Walmart,"Daniel Binder ""Dan""",Directed,30,,,1
"C Douglas McMillon ""Doug""",Walmart,Directed,31,,,1
Exxon Mobil,Darren W Woods,Directed,32,,,1
Exxon Mobil,Andrew P Swiger,Directed,33,,,1
Exxon Mobil,Neil A Chapman,Directed,34,,,1
Exxon Mobil,Jack P Williams Jr,Directed,35,,,1
Exxon Mobil,"Stephen M Greenlee ""Steven""",Directed,36,,,1
Exxon Mobil,Liam M Mallon,Directed,37,,,1
Exxon Mobil,Robert N Schleckser,Directed,38,,,1
Exxon Mobil,Randall M Ebner,Directed,39,,,1
