Company,Name,Position,
Walmart,"C Douglas McMillon ""Doug""",President/CEO, 
,Michael R Francis,Interim Chief Marketing Officer, 
,M Brett Biggs,Exec VP/CFO, 
,Suresh Kumar,Exec VP/CTO/Chief Development Officer, 
,Janey Whiteside,Exec VP/Chief Customer Ofcr, 
,Steve Bratspies,Exec VP/Chief Merchandising Officer, 
,Daniel Trujillo,Exec VP/Global Chief Ethics & Compliance Ofcr, 
,Enrique Ostale Cambiaso,Exec VP/CEO:International, 
,Dirk Van Den Berghe,Exec VP/CEO:Canada & Asia, 
,John R Furner,Exec VP/Pres & CEO:US, 
,Marc Lore,Exec VP/Pres & CEO:E-Commerce US, 
,Judith McKenna,Exec VP/Pres & CEO:International, 
,Kathryn McLay,Exec VP/Pres & CEO:Sam's Club, 
,Michael P Dastugue,Exec VP/CFO:US, 
,Richard Mayfield,Exec VP/CFO:International, 
,"John Peter Suarez ""JP""",Exec VP/CAO:International,
,Ashley Buchanan,Exec VP/Chief Merchant:US eCommerce,
,Karen Roberts,Exec VP/General Counsel, 
,"James A Barron ""Andy""",Exec VP:Softlines & General Merchandise, 
,"Daniel J Bartlett ""Dan""",Exec VP:Corporate Affairs, 
,Rachel L Brand,Exec VP:Global Governance/CLO/Secy, 
,Todd Harbaugh,Exec VP:Supercenters, 
,Jamie Iannone,Exec VP:Membership & Technology, 
,Mark Ibbotson,Exec VP:Realty & Central Operations, 
,Julie Murphy,Exec VP:People, 
,Charles Redfield,Exec VP:Food, 
,Greg Smith,Exec VP:Supply Chain, 
,Gordon Y Allison,Senior VP/Chief Counsel:Finance & Governance, 
,Nuala O'Connor Kelly,Senior VP/Chief Counsel:Digital Citizenship, 
,Kerri L Ruttenberg,Senior VP:Litigation, 
,"Daniel Binder ""Dan""",VP:Investor Relations, 
Exxon Mobil,Darren W Woods,Chairman/CEO, 
,Andrew P Swiger,Senior VP/CFO, 
,Neil A Chapman,Senior Vice President, 
,Jack P Williams Jr,Senior Vice President, 
,"Stephen M Greenlee ""Steven""",VP/Pres:Upstream Business Dev, 
,Liam M Mallon,VP/Pres:Upstream Oil & Gas, 
,Robert N Schleckser,VP/Treasurer, 
