Company,Industry,
Walmart,Retail,5331
Exxon Mobil,Petroleum Refining,2911
Apple,Electronic Computers,3571
Berkshire Hathaway,Insurance,6331
Amazon.com,Retail,5331
UnitedHealth Group,Hospital & Medical Service Plans,6324
McKesson,Wholesale Drugs,5122
CVS Health,Retail-Drug Stores,5912
AT&T,Telephone Communications,4813
AmerisourceBergen,Wholesale Drugs,5122
Chevron,Petroleum Refining,2911
Ford Motor,Motor Vehicles,3711
General Motors,Motor Vehicles,3711
Costco Wholesale,Retail,5331
Alphabet,"Services-Computer Programming, Data Processing",7370
Cardinal Health,Wholesale Drugs,5122
Walgreens Boots Alliance,Retail-Drug Stores,5912
JPMorgan Chase,National Commercial Banks,6021
Verizon Communications,Telephone Communications,4813
Kroger,Retail-Grocery Stores,5411
General Electric,Electronic Equipment,3600
Fannie Mae,,
Phillips 66,Petroleum Refining,2911
Valero Energy,Petroleum Refining,2911
Bank of America,National Commercial Banks,6021
Microsoft,Services-Prepackaged Software,7372
Home Depot,Retail-Lumber,5211
Boeing,Aircraft,3721
Wells Fargo,National Commercial Banks,6021
Citigroup,National Commercial Banks,6021
Marathon Petroleum,Petroleum Refining,2911
Comcast,Cable,4841
Anthem,Hospital & Medical Service Plans,6324
Dell Technologies,Electronic Computers,3571
DuPont de Nemours,Plastics,2821
Johnson & Johnson,Pharmaceutical,2834
IBM,Computer & Office Equipment,3570
Target,Retail,5331
Freddie Mac,,
United Parcel Service,Courier Services,4210
Lowe's,Retail-Lumber,5211
Intel,Semiconductors,3674
MetLife,Life Insurance,6311
Procter & Gamble,Cleaning Preparations,2840
United Technologies,Aircraft Engines,3724
FedEx,Courier Services,4210
PepsiCo,Beverages,2080
Archer Daniels Midland,Fats & Oils,2070
Prudential Financial,Life Insurance,6311
Centene,Hospital & Medical Service Plans,6324
Albertsons,Retail-Grocery Stores,5411
Walt Disney,Services-Amusement & Recreation,7990
Sysco,Wholesale-Groceries,5140
HP,Computer & Office Equipment,3570
Humana,Hospital & Medical Service Plans,6324
Facebook,"Services-Computer Programming, Data Processing",7370
Caterpillar,Construction Machinery & Equipment,3531
Energy Transfer,Natural Gas Transmission,4922
Lockheed Martin,Guided Missiles & Space Vehicles,3760
Pfizer,Pharmaceutical,2834
Goldman Sachs Group,Security Brokers,6211
Morgan Stanley,Security Brokers,6211
Cisco Systems,Computer Communications Equipment,3576
Cigna,Hospital & Medical Service Plans,6324
AIG,Insurance,6331
HCA Healthcare,Services-General Medical,8062
American Airlines Group,Air Transportation,4512
Delta Air Lines,Air Transportation,4512
Charter Communications,Cable,4841
New York Life Insurance,Life Insurance,6311
American Express,Finance Services,6199
Best Buy,Retail-Consumer Electronics,5731
Merck,Pharmaceutical,2834
Honeywell International,Aircraft Engines,3724
United Continental Holdings,Air Transportation,4512
Tyson Foods,Poultry Slaughtering and Processing,2015
Oracle,Services-Prepackaged Software,7372
Allstate,Insurance,6331
World Fuel Services,Wholesale-Petroleum,5172
TJX,Retail-Clothing,5651
ConocoPhillips,Petroleum Refining,2911
Deere,Farm Machinery & Equipment,3523
Tech Data,Wholesale-Computer & Peripheral Equipment,5045
Enterprise Products Partners,Natural Gas Transmission,4922
Nike,Footwear,3021
Publix Super Markets,Retail-Grocery Stores,5411
General Dynamics,Ship & Boat Building & Repairing,3730
Exelon,Electric Services,4911
Plains GP Holdings,Natural Gas Transmission,4922
3M,Surgical and Medical Instruments,3841
AbbVie,Pharmaceutical,2834
Capital One Financial,National Commercial Banks,6021
Progressive,Insurance,6331
Coca-Cola,Beverages,2080
Rite Aid,Retail-Drug Stores,5912
Hewlett Packard Enterprise,Wholesale-Computer & Peripheral Equipment,5045
Abbott Laboratories,Pharmaceutical,2834
Twenty-First Century Fox,Cable,4841
Micron Technology,Semiconductors,3674
Travelers,Insurance,6331
