Id,Industry
3M,Industrials
AbbVie,Healthcare
Progressive,Insurance
IBM,Technology
Abbott Laboratories,Healthcare
Allstate,Insurance
Chevron,Natural Resources
Merck,Healthcare
Deere,Industrials
Boeing,Industrials
Procter & Gamble,Industrials
Microsoft,Technology
Phillips 66,Natural Resources
General Dynamics,Industrials
United Continental Holdings,Retail
Target,Retail
Coca-Cola,Retail
FedEx,Freight
CVS Health,Healthcare
Johnson & Johnson,Healthcare
Nike,Retail
UnitedHealth Group,Insurance
Caterpillar,Industrials
Morgan Stanley,Financial
Lockheed Martin,Industrials
Oracle,Technology
Apple,Technology
Exxon Mobil,Natural Resources
Amazon.com,Retail
General Motors,Motor Vehicles
Sysco,Retail
HCA Healthcare,Healthcare
Intel,Technology
Exelon,Natural Resources
American Express,Financial
Walt Disney,Media
Cisco Systems,Technology
Delta Air Lines,Retail
Valero Energy,Natural Resources
Lowe's,Retail
PepsiCo,Retail
Berkshire Hathaway,Insurance
Costco Wholesale,Retail
Wells Fargo,Financial
Comcast,Media
DuPont de Nemours,Industrials
JPMorgan Chase,Financial
MetLife,Insurance
Walmart,Retail
Pfizer,Healthcare
Ford Motor,Motor Vehicles
AT&T,Telco
Citigroup,Financial
Home Depot,Retail
Verizon Communications,Telco
Bank of America,Financial
Dell Technologies,Technology
United Technologies,Industrials
Cardinal Health,Healthcare
McKesson,Healthcare
New York Life Insurance,Insurance
Honeywell International,Industrials
Cigna,Healthcare
Fannie Mae,Real Estate
General Electric,Industrials
Publix Super Markets,Retail
AIG,Insurance
Humana,Healthcare
Freddie Mac,Real Estate
United Parcel Service,Freight
Goldman Sachs Group,Financial
Centene,Healthcare
Energy Transfer,Natural Resources
Albertsons,Retail
ConocoPhillips,Natural Resources
Marathon Petroleum,Natural Resources
Alphabet,Technology
Prudential Financial,Insurance
Rite Aid,Healthcare
Travelers,Insurance
Best Buy,Retail
Enterprise Products Partners,Natural Resources
Walgreens Boots Alliance,Healthcare
AmerisourceBergen,Healthcare
Plains GP Holdings,Natural Resources
Kroger,Retail
Micron Technology,Technology
Capital One Financial,Financial
Anthem,Insurance
TJX,Retail
World Fuel Services,Natural Resources
Facebook,Technology
HP,Technology
Hewlett Packard Enterprise,Technology
American Airlines Group,Retail
Tyson Foods,Retail
Twenty-First Century Fox,Media
Tech Data,Technology
Archer Daniels Midland,Retail
Charter Communications,Media
