Id,Label,timeset,Industry,General Industry
3M,3M,,Surgical and Medical Instruments,Industrials
AbbVie,AbbVie,,Pharmaceutical,Healthcare
Progressive,Progressive,,Insurance,Insurance
IBM,IBM,,Computer & Office Equipment,Technology
Abbott Laboratories,Abbott Laboratories,,Pharmaceutical,Healthcare
Allstate,Allstate,,Insurance,Insurance
Chevron,Chevron,,Petroleum Refining,Natural Resources
Merck,Merck,,Pharmaceutical,Healthcare
Deere,Deere,,Farm Machinery & Equipment,Industrials
Boeing,Boeing,,Aircraft,Industrials
Procter & Gamble,Procter & Gamble,,Cleaning Preparations,Industrials
Microsoft,Microsoft,,Services-Prepackaged Software,Technology
Phillips 66,Phillips 66,,Petroleum Refining,Natural Resources
General Dynamics,General Dynamics,,Ship & Boat Building & Repairing,Industrials
United Continental Holdings,United Continental Holdings,,Air Transportation,Retail
Target,Target,,Retail,Retail
Coca-Cola,Coca-Cola,,Beverages,Retail
FedEx,FedEx,,Courier Services,Freight
CVS Health,CVS Health,,Retail-Drug Stores,Healthcare
Johnson & Johnson,Johnson & Johnson,,Pharmaceutical,Healthcare
Nike,Nike,,Footwear,Retail
UnitedHealth Group,UnitedHealth Group,,Hospital & Medical Service Plans,Insurance
Caterpillar,Caterpillar,,Construction Machinery & Equipment,Industrials
Morgan Stanley,Morgan Stanley,,Security Brokers,Financial
Lockheed Martin,Lockheed Martin,,Guided Missiles & Space Vehicles,Industrials
Oracle,Oracle,,Services-Prepackaged Software,Technology
Apple,Apple,,Electronic Computers,Technology
Exxon Mobil,Exxon Mobil,,Petroleum Refining,Natural Resources
Amazon.com,Amazon.com,,Retail,Retail
General Motors,General Motors,,Motor Vehicles,Motor Vehicles
Sysco,Sysco,,Wholesale-Groceries,Retail
HCA Healthcare,HCA Healthcare,,Services-General Medical,Healthcare
Intel,Intel,,Semiconductors,Technology
Exelon,Exelon,,Electric Services,Natural Resources
American Express,American Express,,Finance Services,Financial
Walt Disney,Walt Disney,,Services-Amusement & Recreation,Media
Cisco Systems,Cisco Systems,,Computer Communications Equipment,Technology
Delta Air Lines,Delta Air Lines,,Air Transportation,Retail
Valero Energy,Valero Energy,,Petroleum Refining,Natural Resources
Lowe's,Lowe's,,Retail-Lumber,Retail
PepsiCo,PepsiCo,,Beverages,Retail
Berkshire Hathaway,Berkshire Hathaway,,Insurance,Insurance
Costco Wholesale,Costco Wholesale,,Retail,Retail
Wells Fargo,Wells Fargo,,National Commercial Banks,Financial
Comcast,Comcast,,Cable,Media
DuPont de Nemours,DuPont de Nemours,,Plastics,Industrials
JPMorgan Chase,JPMorgan Chase,,National Commercial Banks,Financial
MetLife,MetLife,,Life Insurance,Insurance
Walmart,Walmart,,Retail,Retail
Pfizer,Pfizer,,Pharmaceutical,Healthcare
Ford Motor,Ford Motor,,Motor Vehicles,Motor Vehicles
AT&T,AT&T,,Telephone Communications,Telco
Citigroup,Citigroup,,National Commercial Banks,Financial
Home Depot,Home Depot,,Retail-Lumber,Retail
Verizon Communications,Verizon Communications,,Telephone Communications,Telco
Bank of America,Bank of America,,National Commercial Banks,Financial
Dell Technologies,Dell Technologies,,Electronic Computers,Technology
United Technologies,United Technologies,,Aircraft Engines,Industrials
Cardinal Health,Cardinal Health,,Wholesale Drugs,Healthcare
McKesson,McKesson,,Wholesale Drugs,Healthcare
New York Life Insurance,New York Life Insurance,,Life Insurance,Insurance
Honeywell International,Honeywell International,,Aircraft Engines,Industrials
Cigna,Cigna,,Hospital & Medical Service Plans,Healthcare
Fannie Mae,Fannie Mae,,0,Real Estate
General Electric,General Electric,,Electronic Equipment,Industrials
Publix Super Markets,Publix Super Markets,,Retail-Grocery Stores,Retail
AIG,AIG,,Insurance,Insurance
Humana,Humana,,Hospital & Medical Service Plans,Healthcare
Freddie Mac,Freddie Mac,,0,Real Estate
United Parcel Service,United Parcel Service,,Courier Services,Freight
Goldman Sachs Group,Goldman Sachs Group,,Security Brokers,Financial
Centene,Centene,,Hospital & Medical Service Plans,Healthcare
Energy Transfer,Energy Transfer,,Natural Gas Transmission,Natural Resources
Albertsons,Albertsons,,Retail-Grocery Stores,Retail
ConocoPhillips,ConocoPhillips,,Petroleum Refining,Natural Resources
Marathon Petroleum,Marathon Petroleum,,Petroleum Refining,Natural Resources
Alphabet,Alphabet,,"Services-Computer Programming, Data Processing",Technology
Prudential Financial,Prudential Financial,,Life Insurance,Insurance
Rite Aid,Rite Aid,,Retail-Drug Stores,Healthcare
Travelers,Travelers,,Insurance,Insurance
Best Buy,Best Buy,,Retail-Consumer Electronics,Retail
Enterprise Products Partners,Enterprise Products Partners,,Natural Gas Transmission,Natural Resources
Walgreens Boots Alliance,Walgreens Boots Alliance,,Retail-Drug Stores,Healthcare
AmerisourceBergen,AmerisourceBergen,,Wholesale Drugs,Healthcare
Plains GP Holdings,Plains GP Holdings,,Natural Gas Transmission,Natural Resources
Kroger,Kroger,,Retail-Grocery Stores,Retail
Micron Technology,Micron Technology,,Semiconductors,Technology
Capital One Financial,Capital One Financial,,National Commercial Banks,Financial
Anthem,Anthem,,Hospital & Medical Service Plans,Insurance
TJX,TJX,,Retail-Clothing,Retail
World Fuel Services,World Fuel Services,,Wholesale-Petroleum,Natural Resources
Facebook,Facebook,,"Services-Computer Programming, Data Processing",Technology
HP,HP,,Computer & Office Equipment,Technology
Hewlett Packard Enterprise,Hewlett Packard Enterprise,,Wholesale-Computer & Peripheral Equipment,Technology
American Airlines Group,American Airlines Group,,Air Transportation,Retail
Tyson Foods,Tyson Foods,,Poultry Slaughtering and Processing,Retail
Twenty-First Century Fox,Twenty-First Century Fox,,Cable,Media
Tech Data,Tech Data,,Wholesale-Computer & Peripheral Equipment,Technology
Archer Daniels Midland,Archer Daniels Midland,,Fats & Oils,Retail
Charter Communications,Charter Communications,,Cable,Media
