Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,componentnumber,strongcompnum,Type
Walmart,Walmart,,10,31,41,10,31,41,0,30,C
"C Douglas McMillon ""Doug""","C Douglas McMillon ""Doug""",,1,1,2,1,1,2,0,30,P
Michael R Francis,Michael R Francis,,1,0,1,1,0,1,0,29,P
M Brett Biggs,M Brett Biggs,,1,0,1,1,0,1,0,28,P
Suresh Kumar,Suresh Kumar,,1,0,1,1,0,1,0,27,P
Janey Whiteside,Janey Whiteside,,1,0,1,1,0,1,0,26,P
Steve Bratspies,Steve Bratspies,,1,0,1,1,0,1,0,25,P
Daniel Trujillo,Daniel Trujillo,,1,0,1,1,0,1,0,24,P
Enrique Ostale Cambiaso,Enrique Ostale Cambiaso,,1,0,1,1,0,1,0,23,P
Dirk Van Den Berghe,Dirk Van Den Berghe,,1,0,1,1,0,1,0,22,P
John R Furner,John R Furner,,1,0,1,1,0,1,0,21,P
Marc Lore,Marc Lore,,1,0,1,1,0,1,0,20,P
Judith McKenna,Judith McKenna,,1,0,1,1,0,1,0,19,P
Kathryn McLay,Kathryn McLay,,1,0,1,1,0,1,0,18,P
Michael P Dastugue,Michael P Dastugue,,1,0,1,1,0,1,0,17,P
Richard Mayfield,Richard Mayfield,,1,0,1,1,0,1,0,16,P
"John Peter Suarez ""JP""","John Peter Suarez ""JP""",,1,0,1,1,0,1,0,15,P
Ashley Buchanan,Ashley Buchanan,,1,0,1,1,0,1,0,14,P
Karen Roberts,Karen Roberts,,1,0,1,1,0,1,0,13,P
"James A Barron ""Andy""","James A Barron ""Andy""",,1,0,1,1,0,1,0,12,P
"Daniel J Bartlett ""Dan""","Daniel J Bartlett ""Dan""",,1,0,1,1,0,1,0,11,P
Rachel L Brand,Rachel L Brand,,1,0,1,1,0,1,0,10,P
Todd Harbaugh,Todd Harbaugh,,1,0,1,1,0,1,0,9,P
Jamie Iannone,Jamie Iannone,,1,0,1,1,0,1,0,8,P
Mark Ibbotson,Mark Ibbotson,,1,0,1,1,0,1,0,7,P
Julie Murphy,Julie Murphy,,1,0,1,1,0,1,0,6,P
Charles Redfield,Charles Redfield,,1,0,1,1,0,1,0,5,P
Greg Smith,Greg Smith,,1,0,1,1,0,1,0,4,P
Gordon Y Allison,Gordon Y Allison,,1,0,1,1,0,1,0,3,P
Nuala O'Connor Kelly,Nuala O'Connor Kelly,,1,0,1,1,0,1,0,2,P
Kerri L Ruttenberg,Kerri L Ruttenberg,,1,0,1,1,0,1,0,1,P
"Daniel Binder ""Dan""","Daniel Binder ""Dan""",,1,0,1,1,0,1,0,0,P
Exxon Mobil,Exxon Mobil,,10,17,27,10,17,27,0,47,C
Darren W Woods,Darren W Woods,,1,1,2,1,1,2,0,47,P
Andrew P Swiger,Andrew P Swiger,,1,0,1,1,0,1,0,46,P
Neil A Chapman,Neil A Chapman,,1,0,1,1,0,1,0,45,P
Jack P Williams Jr,Jack P Williams Jr,,1,0,1,1,0,1,0,44,P
"Stephen M Greenlee ""Steven""","Stephen M Greenlee ""Steven""",,1,0,1,1,0,1,0,43,P
Liam M Mallon,Liam M Mallon,,1,0,1,1,0,1,0,42,P
Robert N Schleckser,Robert N Schleckser,,1,0,1,1,0,1,0,41,P
Randall M Ebner,Randall M Ebner,,1,0,1,1,0,1,0,40,P
"James M Spellings Jr ""Jaime""","James M Spellings Jr ""Jaime""",,1,0,1,1,0,1,0,39,P
David S Rosenthal,David S Rosenthal,,1,0,1,1,0,1,0,38,P
Bryan W Milton,Bryan W Milton,,1,0,1,1,0,1,0,37,P
Karen McKee,Karen McKee,,1,0,1,1,0,1,0,36,P
Neil A Hansen,Neil A Hansen,,1,0,1,1,0,1,0,35,P
Tracey C Gunnlaugsson,Tracey C Gunnlaugsson,,1,0,1,1,0,1,0,34,P
Suzanne M McCarron,Suzanne M McCarron,,1,0,1,1,0,1,0,33,P
"Dennis G Wascom ""Jerry""","Dennis G Wascom ""Jerry""",,1,0,1,1,0,1,0,32,P
Theodore J Wojnar Jr,Theodore J Wojnar Jr,,1,0,1,1,0,1,0,31,P
Apple,Apple,,7,21,28,7,21,28,0,192,C
"Timothy Donald Cook ""Tim""","Timothy Donald Cook ""Tim""",,1,2,3,1,2,3,0,192,P
"Jeffrey E Williams ""Jeff""","Jeffrey E Williams ""Jeff""",,1,0,1,1,0,1,0,67,P
Mary Demby,Mary Demby,,1,0,1,1,0,1,0,66,P
"Sir Jonathan Ive ""Jony""","Sir Jonathan Ive ""Jony""",,1,0,1,1,0,1,0,65,P
Luca Maestri,Luca Maestri,,1,0,1,1,0,1,0,64,P
"Katherine L Adams ""Kate""","Katherine L Adams ""Kate""",,1,0,1,1,0,1,0,63,P
"Eduardo H Cue ""Eddy""","Eduardo H Cue ""Eddy""",,1,0,1,1,0,1,0,62,P
Craig Federighi,Craig Federighi,,1,0,1,1,0,1,0,61,P
John Giannandrea,John Giannandrea,,1,0,1,1,0,1,0,60,P
Sabih Khan,Sabih Khan,,1,0,1,1,0,1,0,59,P
Deirdre O'Brien,Deirdre O'Brien,,1,0,1,1,0,1,0,58,P
"Daniel Riccio ""Dan""","Daniel Riccio ""Dan""",,1,0,1,1,0,1,0,57,P
"Philip W Schiller ""Phil""","Philip W Schiller ""Phil""",,1,0,1,1,0,1,0,56,P
Johny Srouji,Johny Srouji,,1,0,1,1,0,1,0,55,P
David Smoley,David Smoley,,1,0,1,1,0,1,0,54,P
Isabel Ge Mahe,Isabel Ge Mahe,,1,0,1,1,0,1,0,53,P
Lisa Perez Jackson,Lisa Perez Jackson,,1,0,1,1,0,1,0,52,P
Tor Myhren,Tor Myhren,,1,0,1,1,0,1,0,51,P
Susan Prescott,Susan Prescott,,1,0,1,1,0,1,0,50,P
Adrian Perica,Adrian Perica,,1,0,1,1,0,1,0,49,P
Nancy Paxton,Nancy Paxton,,1,0,1,1,0,1,0,48,P
Nike,Nike,,13,29,42,13,29,42,0,191,C
Berkshire Hathaway,Berkshire Hathaway,,14,10,24,14,10,24,0,234,C
Warren E Buffett,Warren E Buffett,,1,1,2,1,1,2,0,234,P
"Charles T Munger ""Charlie""","Charles T Munger ""Charlie""",,1,2,3,1,2,3,0,234,P
"Gregory E Abel ""Greg""","Gregory E Abel ""Greg""",,1,1,2,1,1,2,0,234,P
Ajit B Jain,Ajit B Jain,,1,1,2,1,1,2,0,234,P
Marc D Hamburg,Marc D Hamburg,,1,0,1,1,0,1,0,198,P
Daniel J Jaksich,Daniel J Jaksich,,1,0,1,1,0,1,0,197,P
Mark D Millard,Mark D Millard,,1,0,1,1,0,1,0,196,P
Jo Ellen Rieck,Jo Ellen Rieck,,1,0,1,1,0,1,0,195,P
Rebecca K Amick,Rebecca K Amick,,1,0,1,1,0,1,0,194,P
Kerby S Ham,Kerby S Ham,,1,0,1,1,0,1,0,193,P
Costco Wholesale,Costco Wholesale,,10,36,46,10,36,46,0,233,C
Amazon.com,Amazon.com,,10,13,23,10,13,23,0,247,C
"Jeffrey P Bezos ""Jeff""","Jeffrey P Bezos ""Jeff""",,1,1,2,1,1,2,0,247,P
"Andrew R Jassy ""Andy""","Andrew R Jassy ""Andy""",,1,0,1,1,0,1,0,246,P
"Jeffrey A Wilke ""Jeff""","Jeffrey A Wilke ""Jeff""",,1,0,1,1,0,1,0,245,P
Brian T Olsavsky,Brian T Olsavsky,,1,0,1,1,0,1,0,244,P
Steven Kessel,Steven Kessel,,1,0,1,1,0,1,0,243,P
Dave Clark,Dave Clark,,1,0,1,1,0,1,0,242,P
David A Zapolsky,David A Zapolsky,,1,0,1,1,0,1,0,241,P
Jeffrey M Blackburn,Jeffrey M Blackburn,,1,0,1,1,0,1,0,240,P
"James Carney ""Jay""","James Carney ""Jay""",,1,0,1,1,0,1,0,239,P
Paul Kotas,Paul Kotas,,1,0,1,1,0,1,0,238,P
Dr Werner Vogels,Dr Werner Vogels,,1,0,1,1,0,1,0,237,P
Shelley L Reynolds,Shelley L Reynolds,,1,0,1,1,0,1,0,236,P
Dave Fildes,Dave Fildes,,1,0,1,1,0,1,0,235,P
UnitedHealth Group,UnitedHealth Group,,11,15,26,11,15,26,0,262,C
"David Scott Wichmann ""Dave""","David Scott Wichmann ""Dave""",,1,1,2,1,1,2,0,262,P
Sir Andrew Witty,Sir Andrew Witty,,1,0,1,1,0,1,0,261,P
Larry C Renfro,Larry C Renfro,,1,0,1,1,0,1,0,260,P
"Kenneth Ehlert ""Ken""","Kenneth Ehlert ""Ken""",,1,0,1,1,0,1,0,259,P
John Franklin Rex,John Franklin Rex,,1,0,1,1,0,1,0,258,P
Patricia L Lewis,Patricia L Lewis,,1,0,1,1,0,1,0,257,P
Marianne Dolores Short,Marianne Dolores Short,,1,0,1,1,0,1,0,256,P
D Ellen Wilson,D Ellen Wilson,,1,0,1,1,0,1,0,255,P
"Dr Richard J Migliori ""Dick""","Dr Richard J Migliori ""Dick""",,1,0,1,1,0,1,0,254,P
Cory B Alexander,Cory B Alexander,,1,0,1,1,0,1,0,253,P
Terry M Clark,Terry M Clark,,1,0,1,1,0,1,0,252,P
"Thomas Roos ""Tom""","Thomas Roos ""Tom""",,1,0,1,1,0,1,0,251,P
Jennifer M Whitlow,Jennifer M Whitlow,,1,0,1,1,0,1,0,250,P
Peter M Gill,Peter M Gill,,1,0,1,1,0,1,0,249,P
Brett Manderfeld,Brett Manderfeld,,1,0,1,1,0,1,0,248,P
McKesson,McKesson,,10,17,27,10,17,27,0,280,C
Dr Brian S Tyler,Dr Brian S Tyler,,1,0,1,1,0,1,0,279,P
Chris Dimos,Chris Dimos,,1,0,1,1,0,1,0,278,P
Kirk Kaminsky,Kirk Kaminsky,,1,0,1,1,0,1,0,277,P
Nathan Mott,Nathan Mott,,1,0,1,1,0,1,0,276,P
Britt Vitalone,Britt Vitalone,,1,0,1,1,0,1,0,275,P
"Kathleen D McElligott ""Kathy""","Kathleen D McElligott ""Kathy""",,1,0,1,1,0,1,0,274,P
Tracy Faber,Tracy Faber,,1,0,1,1,0,1,0,273,P
Bansi Nagji,Bansi Nagji,,1,0,1,1,0,1,0,272,P
Lori A Schechter,Lori A Schechter,,1,0,1,1,0,1,0,271,P
Brian P Moore,Brian P Moore,,1,0,1,1,0,1,0,270,P
Sundeep Reddy,Sundeep Reddy,,1,0,1,1,0,1,0,269,P
Bonnie Jacobs,Bonnie Jacobs,,1,0,1,1,0,1,0,268,P
Craig Mercer,Craig Mercer,,1,0,1,1,0,1,0,267,P
Paul Smith,Paul Smith,,1,0,1,1,0,1,0,266,P
Craig Stace,Craig Stace,,1,0,1,1,0,1,0,265,P
